Datetime,Weekly_Sales
2012-04-06,53502315.87
2012-04-13,46629261.409999974
2012-04-20,45072529.780000016
2012-04-27,43716798.88999998
2012-05-04,47124197.930000074
2012-05-11,46925878.99000018
2012-05-18,46823939.22000004
2012-05-25,47892463.30999993
2012-06-01,48281649.72000005
2012-06-08,49651171.78000006
2012-06-15,48412110.70000001
2012-06-22,47668284.96999992
2012-06-29,46597112.12000013
2012-07-06,51253021.87999992
2012-07-13,46099732.099999964
2012-07-20,46059543.450000085
2012-07-27,44097154.970000006
2012-08-03,47485899.55999997
2012-08-10,47403451.04000004
2012-08-17,47354452.05000001
2012-08-24,47447323.60000003
2012-08-31,47159639.42999998
2012-09-07,48330059.30999995
2012-09-14,44226038.6499999
2012-09-21,44354547.1100001
2012-09-28,43734899.40000004
2012-10-05,47566639.310000025
2012-10-12,46128514.250000045
2012-10-19,45122410.57000012
2012-10-26,45544116.290000014
